No.,ms,TR,rtr,cobid,len,data
7589,2.946,R,0,282,08,D4 FF 00 00 00 00 CB 01 
7590,5.098,R,0,281,08,30 00 00 00 00 00 CA 01 
7591,1.732,R,0,184,08,C0 00 BD 61 41 00 00 01 
7592,1.774,R,0,183,08,C0 00 1A 5E 30 00 0F 01 
7593,5.353,R,0,286,08,30 00 00 00 00 00 01 00 
7594,0.248,R,0,185,08,C0 00 EA 61 32 00 0F 01 
7595,0.534,R,0,188,08,C0 00 82 5D 34 00 12 01 
7596,0.630,R,0,187,08,C0 00 52 61 3A 00 07 01 
7597,4.006,R,0,287,08,2F 00 00 00 00 00 C8 01 
7598,4.614,R,0,285,08,CE FF 00 00 F4 FF 01 00 
7599,1.059,R,0,181,08,C0 00 8B 5D 30 00 0C 01 
7600,4.635,R,0,288,08,D7 FF 00 00 00 00 C8 01 
7601,6.890,R,0,283,08,D0 FF 00 00 FD FF 01 00 
7602,3.184,R,0,182,08,C0 00 4C 62 32 00 11 01 
7603,3.576,R,0,187,08,C0 00 52 61 3B 00 07 01 
7604,1.478,R,0,284,08,32 00 00 00 00 00 01 00 
7605,1.960,R,0,186,08,C0 00 E4 5D 30 00 06 01 
7606,2.941,R,0,282,08,D4 FF 00 00 00 00 CB 01 
7607,5.260,R,0,281,08,30 00 00 00 00 00 CA 01 
7608,1.832,R,0,184,08,C0 00 BD 61 41 00 00 01 
7609,1.744,R,0,183,08,C0 00 1A 5E 32 00 0F 01 
7610,5.134,R,0,286,08,30 00 00 00 00 00 01 00 
7611,0.248,R,0,185,08,C0 00 EA 61 32 00 0F 01 
7612,0.614,R,0,188,08,C0 00 82 5D 36 00 12 01 
7613,4.776,R,0,287,08,2F 00 00 00 00 00 C8 01 
7614,4.540,R,0,705,01,05 
7615,1.181,R,0,181,08,C0 00 8B 5D 30 00 0C 01 
7616,3.922,R,0,285,08,CE FF 00 00 F4 FF 01 00 
7617,0.645,R,0,288,08,D7 FF 00 00 00 00 C8 01 
7618,7.028,R,0,283,08,D0 FF 00 00 FD FF 01 00 
7619,2.952,R,0,182,08,C0 00 4C 62 32 00 11 01 
7620,3.810,R,0,187,08,C0 00 52 61 3A 00 07 01 
7621,1.509,R,0,284,08,32 00 00 00 00 00 01 00 
7622,2.698,R,0,186,08,C0 00 E4 5D 30 00 06 01 
7623,1.937,R,0,282,08,D4 FF 00 00 00 00 CB 01 
7624,5.428,R,0,281,08,30 00 00 00 00 00 CA 01 
7625,1.930,R,0,184,08,C0 00 BD 61 41 00 00 01 
7626,1.718,R,0,183,08,C0 00 1A 5E 30 00 0F 01 
7627,4.897,R,0,286,08,30 00 00 00 00 00 01 00 
7628,0.360,R,0,185,08,C0 00 EA 61 32 00 0F 01 
7629,0.586,R,0,708,01,05 
7630,5.040,R,0,287,08,2F 00 00 00 00 00 C8 01 
7631,4.046,R,0,188,08,C0 00 82 5D 36 00 12 01 
7632,0.420,R,0,285,08,CE FF 00 00 F4 FF 01 00 
7633,1.073,R,0,181,08,C0 00 8B 5D 30 00 0C 01 
7634,4.484,R,0,288,08,D7 FF 00 00 00 00 C8 01 
7635,7.176,R,0,283,08,D0 FF 00 00 FD FF 01 00 
7636,2.716,R,0,182,08,C0 00 4C 62 32 00 11 01 
7637,4.044,R,0,187,08,C0 00 52 61 3A 00 07 01 
7638,1.543,R,0,284,08,32 00 00 00 00 00 01 00 
7639,2.442,R,0,186,08,C0 00 E4 5D 30 00 06 01 
7640,1.925,R,0,282,08,D4 FF 00 00 00 00 CB 01 
7641,5.600,R,0,281,08,30 00 00 00 00 00 CA 01 
7642,2.028,R,0,184,08,C0 00 BD 61 41 00 00 01 
7643,1.676,R,0,183,08,C0 00 1A 5E 30 00 0F 01 
7644,4.681,R,0,286,08,30 00 00 00 00 00 01 00 
7645,0.502,R,0,185,08,C0 00 EA 61 32 00 0F 01 
7646,0.526,R,0,188,08,C0 00 82 5D 36 00 12 01 
7647,5.052,R,0,287,08,2F 00 00 00 00 00 C8 01 
7648,5.396,R,0,285,08,CE FF 00 00 F4 FF 01 00 
7649,0.238,R,0,181,08,C0 00 8B 5D 30 00 0C 01 
7650,4.258,R,0,288,08,D7 FF 00 00 00 00 C8 01 
7651,7.316,R,0,283,08,D0 FF 00 00 FD FF 01 00 
7652,2.478,R,0,702,01,05 
7653,5.388,R,0,187,08,C0 00 52 61 3B 00 07 01 
7654,0.583,R,0,284,08,32 00 00 00 00 00 01 00 
7655,2.106,R,0,182,08,C0 00 4C 62 32 00 11 01 
7656,0.240,R,0,186,08,C0 00 E4 5D 30 00 06 01 
7657,1.754,R,0,282,08,D4 FF 00 00 00 00 CB 01 
7658,5.775,R,0,281,08,30 00 00 00 00 00 CA 01 
7659,2.120,R,0,184,08,C0 00 BD 61 41 00 00 01 
7660,1.654,R,0,183,08,C0 00 1A 5E 30 00 0F 01 
7661,4.453,R,0,286,08,30 00 00 00 00 00 01 00 
7662,0.648,R,0,185,08,C0 00 EA 61 32 00 0F 01 
7663,0.464,R,0,188,08,C0 00 81 5D 36 00 12 01 
7664,5.193,R,0,287,08,2F 00 00 00 00 00 C8 01 
7665,5.318,R,0,285,08,CE FF 00 00 F4 FF 01 00 
7666,0.238,R,0,181,08,C0 00 8B 5D 30 00 0C 01 
7667,4.192,R,0,288,08,D7 FF 00 00 00 00 C8 01 
7668,7.464,R,0,283,08,D0 FF 00 00 FD FF 01 00 
7669,2.238,R,0,182,08,C0 00 4C 62 30 00 11 01 
7670,5.510,R,0,187,08,C0 00 53 61 3A 00 07 01 
7671,0.607,R,0,284,08,32 00 00 00 00 00 01 00 
7672,1.934,R,0,186,08,C0 00 E4 5D 30 00 06 01 
7673,1.901,R,0,282,08,D4 FF 00 00 00 00 CB 01 
7674,5.940,R,0,281,08,30 00 00 00 00 00 CA 01 
7675,2.216,R,0,704,01,05 
7676,1.751,R,0,183,08,C0 00 19 5E 30 00 0F 01 
7677,4.228,R,0,286,08,30 00 00 00 00 00 01 00 
7678,0.822,R,0,185,08,C0 00 EA 61 32 00 0F 01 
7679,0.366,R,0,188,08,C0 00 82 5D 36 00 12 01 
7680,5.339,R,0,287,08,2F 00 00 00 00 00 C8 01 
7681,5.240,R,0,285,08,CE FF 00 00 F4 FF 01 00 
7682,0.238,R,0,181,08,C0 00 8B 5D 30 00 0C 01 
7683,0.240,R,0,184,08,C0 00 BD 61 41 00 00 01 
7684,3.884,R,0,288,08,D7 FF 00 00 00 00 C8 01 
7685,5.720,R,0,701,01,05 
7686,2.008,R,0,283,08,D0 FF 00 00 FD FF 01 00 
7687,2.008,R,0,182,08,C0 00 4C 62 32 00 11 01 
7688,5.744,R,0,187,08,C0 00 52 61 3B 00 07 01 
7689,0.641,R,0,284,08,32 00 00 00 00 00 01 00 
7690,1.682,R,0,186,08,C0 00 E4 5D 30 00 06 01 
7691,1.883,R,0,282,08,D4 FF 00 00 00 00 CB 01 
7692,6.112,R,0,281,08,30 00 00 00 00 00 CA 01 
7693,2.314,R,0,184,08,C0 00 BD 61 42 00 00 01 
7694,1.620,R,0,183,08,C0 00 19 5E 30 00 0F 01 
7695,3.984,R,0,286,08,30 00 00 00 00 00 01 00 
7696,1.266,R,0,188,08,C0 00 82 5D 34 00 12 01 
7697,0.674,R,0,185,08,C0 00 EA 61 32 00 0F 01 
7698,4.808,R,0,287,08,2F 00 00 00 00 00 C8 01 
7699,5.170,R,0,285,08,CE FF 00 00 F4 FF 01 00 
7700,0.238,R,0,181,08,C0 00 8B 5D 30 00 0C 01 
7701,4.057,R,0,288,08,D7 FF 00 00 00 00 C8 01 
7702,7.746,R,0,283,08,D0 FF 00 00 FD FF 01 00 
7703,1.766,R,0,182,08,C0 00 4C 62 32 00 11 01 
7704,5.976,R,0,187,08,C0 00 52 61 3A 00 07 01 
7705,0.677,R,0,284,08,32 00 00 00 00 00 01 00 
7706,1.430,R,0,186,08,C0 00 E4 5D 30 00 06 01 
7707,1.532,R,0,70E,01,05 
7708,0.459,R,0,282,08,D4 FF 00 00 00 00 CB 01 
7709,6.287,R,0,281,08,30 00 00 00 00 00 CA 01 
7710,2.406,R,0,184,08,C0 00 BE 61 41 00 00 01 
7711,2.564,R,0,183,08,C0 00 19 5E 32 00 0F 01 
7712,2.792,R,0,286,08,30 00 00 00 00 00 01 00 
7713,1.348,R,0,188,08,C0 00 82 5D 34 00 12 01 
7714,0.740,R,0,185,08,C0 00 EA 61 32 00 0F 01 
7715,2.118,R,0,703,01,05 
7716,2.874,R,0,287,08,2F 00 00 00 00 00 C8 01 
7717,5.100,R,0,285,08,CE FF 00 00 F4 FF 01 00 
7718,0.238,R,0,181,08,C0 00 8B 5D 30 00 0C 01 
7719,3.993,R,0,288,08,D7 FF 00 00 00 00 C8 01 
7720,7.892,R,0,283,08,D0 FF 00 00 FD FF 01 00 
7721,1.530,R,0,182,08,C0 00 4C 62 32 00 11 01 
7722,6.204,R,0,187,08,C0 00 52 61 3A 00 07 01 
7723,0.709,R,0,284,08,32 00 00 00 00 00 01 00 
7724,1.180,R,0,186,08,C0 00 E4 5D 30 00 06 01 
7725,1.860,R,0,282,08,D4 FF 00 00 00 00 CB 01 
7726,6.446,R,0,281,08,30 00 00 00 00 00 CA 01 
7727,2.508,R,0,184,08,C0 00 BD 61 41 00 00 01 
7728,2.534,R,0,183,08,C0 00 1A 5E 30 00 0F 01 
7729,2.561,R,0,286,08,30 00 00 00 00 00 01 00 
7730,1.428,R,0,188,08,C0 00 82 5D 36 00 12 01 
7731,0.804,R,0,185,08,C0 00 EA 61 32 00 0F 01 
7732,4.951,R,0,287,08,2F 00 00 00 00 00 C8 01 
7733,5.024,R,0,285,08,CE FF 00 00 F4 FF 01 00 
7734,0.238,R,0,181,08,C0 00 8B 5D 30 00 0C 01 
7735,3.929,R,0,288,08,D7 FF 00 00 00 00 C8 01 
7736,3.514,R,0,706,01,05 
7737,4.645,R,0,283,08,D0 FF 00 00 FD FF 01 00 
7738,1.296,R,0,182,08,C0 00 4B 62 32 00 11 01 
7739,6.428,R,0,187,08,C0 00 52 61 3B 00 07 01 
7740,0.777,R,0,284,08,32 00 00 00 00 00 01 00 
7741,0.896,R,0,186,08,C0 00 E4 5D 30 00 06 01 
7742,1.856,R,0,282,08,D4 FF 00 00 00 00 CB 01 
7743,6.608,R,0,281,08,30 00 00 00 00 00 CA 01 
7744,2.608,R,0,184,08,C0 00 BD 61 42 00 00 01 
7745,2.506,R,0,183,08,C0 00 19 5E 30 00 0F 01 
7746,2.333,R,0,286,08,30 00 00 00 00 00 01 00 
7747,1.512,R,0,188,08,C0 00 82 5D 36 00 12 01 
7748,0.874,R,0,185,08,C0 00 EA 61 32 00 0F 01 
7749,5.018,R,0,287,08,2F 00 00 00 00 00 C8 01 
7750,4.954,R,0,285,08,CE FF 00 00 F4 FF 01 00 
7751,0.238,R,0,181,08,C0 00 8B 5D 30 00 0C 01 
7752,3.857,R,0,288,08,D7 FF 00 00 00 00 C8 01 
7753,8.184,R,0,283,08,D0 FF 00 00 FD FF 01 00 
7754,1.068,R,0,182,08,C0 00 4C 62 32 00 11 01 
7755,6.658,R,0,707,01,05 
7756,1.556,R,0,186,08,C0 00 E5 5D 30 00 06 01 
7757,0.343,R,0,284,08,32 00 00 00 00 00 01 00 
